rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
1,12,เขตสุขภาพที่ 12,สตูล,ละงู,77707,ศูนย์สุขภาพชุมชนกำแพง,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),48,48,11,4.36,48,0,100.0,256.8,310.2,,48,0,100.0,8,0,-100.0,36.92,25650809,25690323,48,0,0,0,0,0,47,1,0,0,0
2,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,24672,ศูนย์สุขภาพชุมชนศรีพิมาน,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),17,17,8,2.12,0,17,0.0,,,14.9,17,0,100.0,1,1,0.0,13.08,25640914,25690421,0,15,2,0,0,0,0,0,17,0,0
3,12,เขตสุขภาพที่ 12,สตูล,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,โรงพยาบาลชุมชน,11,11,3,3.67,0,11,0.0,,,16.1,11,0,100.0,3,0,-100.0,8.46,25620329,25690306,0,0,0,0,11,0,0,0,0,11,0
4,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,10746,โรงพยาบาลสตูล,โรงพยาบาลทั่วไป,11,11,11,1.0,11,0,100.0,183.2,211.7,,11,0,100.0,3,4,33.3,8.46,25650713,25690701,0,0,0,11,0,0,0,0,11,0,0
5,12,เขตสุขภาพที่ 12,สตูล,ละงู,09641,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,9,9,3,3.0,9,0,100.0,65.3,238.2,,9,0,100.0,0,1,,6.92,25660503,25690521,0,0,2,2,5,0,0,0,4,5,0
6,12,เขตสุขภาพที่ 12,สตูล,ละงู,09636,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,4,2.0,0,8,0.0,,,14.0,8,0,100.0,3,0,-100.0,6.15,25670223,25690320,0,0,0,0,8,0,0,0,0,8,0
7,12,เขตสุขภาพที่ 12,สตูล,ควนโดน,11402,โรงพยาบาลควนโดน,โรงพยาบาลชุมชน,5,5,3,1.67,5,0,100.0,217.7,220.9,,5,0,100.0,0,3,,3.85,25680404,25690720,0,0,5,0,0,0,5,0,0,0,0
8,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,09604,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด,โรงพยาบาลส่งเสริมสุขภาพตำบล,4,4,4,1.0,0,4,0.0,,,14.9,4,0,100.0,0,0,,3.08,25670713,25670718,1,0,0,0,3,0,1,0,0,3,0
9,12,เขตสุขภาพที่ 12,สตูล,ละงู,09639,โรงพยาบาลส่งเสริมสุขภาพตำบลปากน้ำ,โรงพยาบาลส่งเสริมสุขภาพตำบล,4,4,1,4.0,0,4,0.0,,,2.0,4,0,100.0,0,0,,3.08,25660201,25681229,4,0,0,0,0,0,4,0,0,0,0
10,12,เขตสุขภาพที่ 12,สตูล,เมืองสตูล,77708,ศูนย์สุขภาพชุมชนพิมาน,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),3,3,3,1.0,0,3,0.0,,,14.9,3,0,100.0,0,0,,2.31,25660918,25661016,1,0,0,0,2,0,1,0,0,2,0
